"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","3436","0","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","0.000000","0","32"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","0.000000","0","32"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","356.085541","0","55"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","2","2","1","2.832806","0","2"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","56","64","2","0.000000","0","64"
"/Fab/Materials/Standard/M_MS_Srf.M_MS_Srf","0","35","38","1","684.388367","11","62"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","118","136","6","0.000000","0","136"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","0.000000","0","9"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_024/mat_arid_024.mat_arid_024","0","28","32","1","106.285065","0","32"
"/Game/ARID/3D_ARID/arid_ill_018_banner/Empty.Empty","0","14","16","1","44.069195","0","16"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","0.000000","0","42"
"/Game/ARID/3D_ARID/arid_ill_006_banner/Empty_001.Empty_001","0","3","3","1","9.039645","0","3"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_023/mat_arid_023.mat_arid_023","0","14","16","1","0.000000","0","16"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_022/mat_arid_022.mat_arid_022","0","28","32","1","0.000000","0","32"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_025/mat_arid_025.mat_arid_025","0","28","32","1","0.000000","0","32"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_017/mat_arid_017.mat_arid_017","0","28","32","1","0.000000","0","32"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_019/mat_arid_019.mat_arid_019","0","28","32","1","0.000000","0","32"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_026/mat_arid_026.mat_arid_026","0","28","32","1","68.882698","0","32"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_001/mat_arid_001.mat_arid_001","0","28","32","1","0.000000","0","32"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_004/mat_arid_004.mat_arid_004","0","28","32","1","0.000000","0","32"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","110","120","6","0.000000","0","120"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_008/mat_arid_008.mat_arid_008","0","28","32","1","0.000000","0","32"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_012/mat_arid_012.mat_arid_012","0","28","32","1","0.000000","0","32"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_014/mat_arid_014.mat_arid_014","0","14","16","1","0.000000","0","16"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_015/mat_arid_015.mat_arid_015","0","28","32","1","0.000000","0","32"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_016/mat_arid_016.mat_arid_016","0","28","32","1","0.000000","0","32"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_002/mat_arid_002.mat_arid_002","0","28","32","1","0.000000","0","32"
"/Game/ARID/3D_ARID/arid_ill_005_banner/mat_arid_005.mat_arid_005","0","3","3","1","8.800250","0","3"
"/Game/ARID/3D_ARID/arid_ill_006_banner/mat_arid_006.mat_arid_006","0","6","6","1","9.522668","0","6"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","110","120","6","0.000000","0","120"
"/Game/ARID/3D_ARID/arid_ill_018_low/mat_arid_018.mat_arid_018","0","6","6","1","0.000000","0","6"
"/Game/ARID/3D_ARID/arid_ill_021_low/mat_arid_021.mat_arid_021","0","6","6","1","0.000000","0","6"
"/Game/gravel-ground-module-scan-dry-2/source/mat_018.mat_018","0","6","6","1","18.770792","0","6"
"/Game/torii-gate/textures/torii.torii","0","3","3","1","8.726930","0","3"
"/Game/ARID/3D_ARID/arid_ill_003_low/arid_ill_003_low.arid_ill_003_low","0","6","6","1","0.000000","0","6"
"/Game/M_HeatHazePP.M_HeatHazePP","0","5","5","1","7.327599","0","5"
"/Game/ARID/3D_ARID/arid_ill_003_banner/Empty.Empty","0","14","16","1","0.000000","0","16"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","36","36","2","0.000000","0","36"
"/Game/ARID/3D_ARID/arid_ill_005_banner/Empty.Empty","0","14","16","1","31.615055","0","16"
"/Game/ARID/3D_ARID/arid_ill_021_banner/Empty_001.Empty_001","0","14","16","1","0.000000","0","16"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","609","632","1","749.046143","0","632"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","63","1","0.000000","0","63"
"/Niagara/DefaultAssets/M_BlackParticles.M_BlackParticles","0","55","60","1","170.990417","0","60"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","3","3","1","0.000000","0","3"
